Id	Name	Peak(min)	Error	Score
YDR219C	YDR219C	60.5	NQ	2.12
YOR327C	SNC2	157.5	3.472	2.51
YOR327C	SNC2	291	NA	1.79
YMR095C	SNO1	280.5	NQ	1.71
YMR095C	SNO1	38	NQ	1.84
YOL033W	MSE1	49.5	1.011	7.81
YGR012W	YGR012W	135.5	NQ	1.75
YGR012W	YGR012W	47	NQ	2.74
YGL012W	ERG4	30	NQ	12.20
YPL241C	CIN2	46	1.497	5.96
YOL158C	ENB1	127.5	NQ	2.31
YOL158C	ENB1	31	NQ	1.04
YMR058W	FET3	34.5	0.724	15.17
YLR050C	YLR050C	124.5	NQ	1.44
YLR050C	YLR050C	44	NQ	2.17
YJR057W	CDC8	152	NQ	1.53
YJR057W	CDC8	53	NQ	2.56
YGR177C	ATF2	27	NQ	2.77
YDR183W	PLP1	50	NQ	2.00
YBR042C	YBR042C	175	NQ	1.88
YBR042C	YBR042C	3.5	NQ	1.76
YML065W	ORC1	226.5	NA	1.25
YML065W	ORC1	86.5	3.814	3.61
YIR010W	DSN1	130.5	NA	1.71
YIR010W	DSN1	70	2.401	2.34
YNR001C	CIT1	170.5	NQ	2.18
YNR001C	CIT1	46.5	NQ	2.41
YNL188W	KAR1	161.5	168.816	2.06
YNL188W	KAR1	2	168.816	2.34
YDR261C	EXG2	68	2.572	3.48
YDR055W	PST1	164	0.738	9.64
YPL158C	YPL158C	165	0.583	17.25
YNL165W	YNL165W	168	NQ	2.09
YNL165W	YNL165W	262.5	NQ	2.60
YLR455W	YLR455W	6.5	NQ	1.68
YLR455W	YLR455W	70.5	NQ	2.58
YLR272C	YCS4	67	6.228	3.21
YML052W	SUR7	124	6.592	4.26
YJR054W	YJR054W	4.5	NQ	2.01
YJR054W	YJR054W	95.5	NQ	2.45
YJL097W	YJL097W	240.5	NQ	1.85
YJL097W	YJL097W	35	NQ	1.95
YGR042W	YGR042W	148	NQ	2.64
YGR042W	YGR042W	254.5	NQ	2.17
YDR089W	YDR089W	120.5	NQ	1.80
YDR089W	YDR089W	22	NQ	4.59
YDL248W	COS7	153	NQ	2.56
YDL248W	COS7	47	NQ	1.61
YOR368W	RAD17	46	3.073	3.86
YOL069W	NUF2	161.5	1.820	2.97
YOL069W	NUF2	81	NA	1.76
YML132W	COS3	221.5	NQ	2.79
YML132W	COS3	49	NQ	1.48
YKL046C	DCW1	26	NQ	2.60
YKL046C	DCW1	82	NQ	1.71
YJL194W	CDC6	145	1.140	3.81
YJL194W	CDC6	23.5	NA	2.31
YBR001C	NTH2	144	1.999	5.26
YPL232W	SSO1	14	NQ	2.31
YHR215W				
YFL063W	YFL063W	143.5	NQ	2.65
YDR222W	YDR222W	103.5	NQ	2.05
YDR222W	YDR222W	289.5	NQ	4.40
YNL335W	YNL335W	161	1.186	6.31
YNL327W	EGT2	169.5	0.833	19.66
YMR003W	YMR003W	75	3.909	7.63
YJR161C	COS5	223	NQ	2.74
YJR161C	COS5	45.5	NQ	1.62
YGR113W	DAM1	267.5	NQ	1.13
YGR113W	DAM1	63	NQ	3.10
YDL055C	PSA1	185	0.664	5.21
YDL055C	PSA1	58.5	NA	2.06
YOR066W	YOR066W	168	7.519	2.46
YOR066W	YOR066W	5	6.686	3.46
YMR296C	LCB1	11	NQ	4.46
YFL037W	TUB2	133.5	NA	2.71
YFL037W	TUB2	61.5	NA	2.44
YDR348C	YDR348C	21	4.197	4.78
YJR162C	YJR162C	154	NQ	2.27
YJR162C	YJR162C	246	NQ	1.62
YEL042W	GDA1	14.5	NQ	4.35
YEL042W	GDA1	96	NQ	1.85
YDR191W	HST4	163.5	53.934	2.15
YDR191W	HST4	241.5	NA	2.34
YMR305C	SCW10	39	1.326	15.37
YLL032C	YLL032C	157	NQ	3.16
YLL032C	YLL032C	87.5	NQ	3.71
YFR027W	ECO1	234.5	NQ	1.61
YFR027W	ECO1	45	NQ	3.27
YOR383C	FIT3	160.5	2.051	9.87
YLR297W	YLR297W	159.5	NA	2.54
YLR297W	YLR297W	248.5	4.348	4.28
YLR126C	YLR126C	120.5	NQ	1.19
YLR126C	YLR126C	46.5	NQ	1.16
YER174C	GRX4	100	NQ	1.70
YER174C	GRX4	31	NQ	2.86
YBL010C	YBL010C	56.5	NQ	4.72
YGL253W	HXK2	42	1.905	6.60
YPL023C	MET12	21.5	NQ	4.29
YNL218W	MGS1	120	NQ	1.42
YNL218W	MGS1	232	NQ	1.38
YNL160W	YGP1	159.5	51.215	3.43
YNL160W	YGP1	264.5	51.269	3.78
YCL014W	BUD3	110	196.778	2.27
YCL014W	BUD3	290	196.778	1.52
YBR158W	AMN1	178.5	1.286	16.05
YNL313C	YNL313C	7.5	NQ	3.04
YNL313C	YNL313C	86	NQ	1.96
YMR215W	GAS3	19.5	NA	2.30
YMR215W	GAS3	71.5	1.984	4.58
YPR019W	CDC54	130	44.616	2.45
YPR019W	CDC54	27	44.491	2.16
YOR023C	AHC1	157.5	NQ	1.49
YOR023C	AHC1	260	NQ	1.65
YNL068C	FKH2	3	NQ	2.11
YNL068C	FKH2	74.5	NQ	1.71
YLL065W	YLL065W	153.5	NQ	2.72
YLL065W	YLL065W	257	NQ	1.80
YJR053W	BFA1	21	NQ	0.12
YDL179W	PCL9	165.5	0.628	18.33
YBR093C	PHO5	166	NQ	2.29
YBR093C	PHO5	260.5	NQ	1.88
YFR016C	YFR016C	50	NQ	3.29
YOR184W	SER1	22.5	NQ	4.38
YPR173C	VPS4	167	NQ	1.83
YPR173C	VPS4	8	NQ	2.06
YOR320C	GNT1	189.5	NQ	1.34
YOR320C	GNT1	42	NQ	2.55
YOR075W	UFE1	38.5	NQ	1.22
YLR194C	YLR194C	167	NQ	7.62
YDL155W	CLB3	109.5	NQ	1.47
YDL155W	CLB3	283	NQ	2.30
YOR198C	BFR1	55.5	21.204	3.00
YNL333W	SNZ2	50.5	2.493	14.50
YLR214W	FRE1	102	NQ	1.75
YLR214W	FRE1	297	NQ	1.90
YGR143W	SKN1	143.5	3.212	2.53
YGR143W	SKN1	263	3.033	2.53
YGL028C	SCW11	184.5	1.782	13.92
YPR104C	FHL1	291	NQ	1.80
YPR104C	FHL1	80.5	NQ	2.12
YMR190C	SGS1	84	NQ	0.83
YJR076C	CDC11	298.5	NA	1.46
YJR076C	CDC11	72	1.349	2.83
YBL046W	YBL046W	182	NQ	2.02
YBL046W	YBL046W	54.5	NQ	1.50
YBR007C	YBR007C	22	1.475	4.21
YAR071W	PHO11	251.5	NQ	2.05
YAR071W	PHO11	45	NQ	1.34
YNL197C	WHI3	158	53.324	2.33
YNL197C	WHI3	81	53.278	2.21
YDR342C	HXT7	154.5	NQ	2.53
YBL032W	HEK2	72	41.594	3.38
YAR060C	YAR060C	220.5	NQ	2.63
YPR106W	ISR1	175	2.024	3.74
YPR106W	ISR1	251	NA	1.64
YOL030W	GAS5	113	NA	3.19
YOL030W	GAS5	19	1.204	4.76
YLL062C	MHT1	36	NQ	6.87
YJL078C	PRY3	182	1.452	13.59
YGL216W	KIP3	287	NQ	2.05
YGL216W	KIP3	69	NQ	1.56
YER145C	FTR1	27.5	1.530	3.50
YER145C	FTR1	94	NA	2.94
YDL219W	DTD1	113	NQ	1.97
YDL219W	DTD1	29	NQ	3.92
YKL130C	SHE2	11.5	NQ	1.29
YKL130C	SHE2	94.5	NQ	1.90
YHR086W	NAM8	58	NQ	4.64
YOR264W	DSE3	169.5	0.936	14.87
YNL338W				
YMR160W	YMR160W	204.5	NQ	2.61
YMR160W	YMR160W	51	NQ	2.00
YGL022W	STT3	125	NQ	1.86
YGL022W	STT3	49.5	NQ	2.17
YLR034C	SMF3	182	NQ	1.47
YLR034C	SMF3	75.5	NQ	1.32
YJL137C	GLG2	134.5	NQ	3.06
YFR031C	SMC2	61	3.487	3.02
YFL016C	MDJ1	261.5	NQ	1.32
YFL016C	MDJ1	47.5	NQ	2.95
YAL069W	YAL069W	NA	NQ	
YPR004C	YPR004C	28.5	NQ	2.91
YPR004C	YPR004C	80.5	NQ	1.79
YLR343W	YLR343W	217	NQ	1.04
YLR343W	YLR343W	289	NQ	1.38
YIL156W	UBP7	229	NQ	2.07
YIL156W	UBP7	47.5	NQ	1.84
YIL131C	FKH1	67	1.803	4.04
YGR098C	ESP1	209.5	NA	1.44
YGR098C	ESP1	70.5	4.731	3.53
YFR038W	YFR038W	267	NQ	1.82
YFR038W	YFR038W	41	NQ	2.03
YEL074W	YEL074W	NA	NQ	
YDR343C	HXT6	153.5	NQ	1.87
YDR343C	HXT6	29.5	NQ	0.71
YLR057W	YLR057W	212.5	NQ	1.76
YLR057W	YLR057W	9	NQ	1.85
YHR160C	PEX18	146.5	1.651	4.25
YHR160C	PEX18	236.5	NA	3.72
YGR295C	COS6	160	NQ	3.38
YGR295C	COS6	50.5	NQ	1.52
YER152C	YER152C	128.5	NQ	2.28
YER152C	YER152C	232.5	NQ	1.85
YPL066W	YPL066W	154.5	NQ	1.48
YPL066W	YPL066W	212	NQ	2.27
YML059C	YML059C	34	NQ	1.62
YML059C	YML059C	85	NQ	2.78
YDL227C	HO	243	12.335	1.06
YML058W	SML1	21	154.194	0.85
YDR150W	NUM1	264	117.946	1.32
YDR150W	NUM1	47.5	NA	1.22
YOR115C	TRS33	15.5	NQ	2.84
YNL216W	RAP1	160.5	53.006	1.90
YNL216W	RAP1	83	NA	1.68
YGR044C	RME1	187	1.917	8.60
YDR516C	EMI2	126	NQ	4.75
YDR516C	EMI2	48.5	NQ	4.10
YBR156C	SLI15	71.5	3.925	4.80
YBL109W	YBL109W	158.5	NQ	3.08
YBL109W	YBL109W	255.5	NQ	1.26
YPL036W	PMA2	225	2.224	10.65
YHL040C	ARN1	69	4.177	6.35
YHL040C	ARN1	7	NA	3.06
YGL210W	YPT32	207	NQ	1.48
YGL210W	YPT32	26.5	NQ	1.37
YER124C	DSE1	190	1.176	16.54
YPL227C	ALG5	61	NQ	5.54
YIL162W	SUC2	131.5	NA	3.77
YIL162W	SUC2	52	1.657	6.36
YDR532C	YDR532C	163	NQ	1.17
YDR532C	YDR532C	226.5	NQ	1.71
YOR313C	SPS4	100.5	1.595	3.32
YOR313C	SPS4	26	NA	1.11
YMR102C	YMR102C	156.5	NQ	1.54
YMR102C	YMR102C	218.5	NQ	2.62
YKR054C	DYN1	239	91.753	1.56
YKR054C	DYN1	95	NA	2.21
YJR148W	BAT2	153.5	1.601	6.98
YHL028W	WSC4	95.5	1.233	5.40
YFR053C	HXK1	138.5	NQ	4.57
YFR053C	HXK1	46.5	NQ	2.92
YNL046W	YNL046W	167.5	NQ	3.78
YML085C	TUB1	145	NA	3.02
YML085C	TUB1	70	1.649	3.99
YGL174W	BUD13	25	NQ	3.79
YDR528W	HLR1	29.5	NQ	5.18
YIL050W	PCL7	129.5	NQ	1.80
YIL050W	PCL7	60.5	NQ	2.61
YGR142W	BTN2	160.5	NA	2.34
YGR142W	BTN2	234	43.692	6.03
YBR278W	DPB3	151.5	NQ	1.86
YBR278W	DPB3	233	NQ	1.62
YML064C	TEM1	159	5.140	2.56
YML064C	TEM1	288.5	NA	1.53
YDL180W	YDL180W	262.5	NQ	1.07
YDL180W	YDL180W	33	NQ	2.75
YNL291C	MID1	41	NQ	3.29
YMR002W	YMR002W	125	NQ	2.54
YMR002W	YMR002W	39.5	NQ	1.70
YER122C	GLO3	15	NQ	1.98
YER122C	GLO3	68.5	NQ	2.27
YDL138W	RGT2	133	2.330	3.35
YDL138W	RGT2	299	NA	1.88
YOL012C	HTZ1	167	NA	1.84
YOL012C	HTZ1	77.5	1.882	4.75
YLR210W	CLB4	298	NQ	1.73
YLR210W	CLB4	80.5	NQ	2.19
YIL129C	TAO3	128.5	1.720	2.23
YIL129C	TAO3	42	NA	1.90
YCR042C	TAF2	14	NQ	1.44
YCR042C	TAF2	185	NQ	2.77
YCL040W	GLK1	162	NQ	5.03
YAL068C	YAL068C	138	NQ	1.74
YAL068C	YAL068C	239	NQ	2.68
YPL269W	KAR9	170.5	NQ	2.07
YPL269W	KAR9	67.5	NQ	2.42
YOR326W	MYO2	181.5	105.804	0.58
YOR326W	MYO2	83	NA	1.40
YJR144W	MGM101	298	NQ	1.92
YJR144W	MGM101	62.5	NQ	1.70
YHR108W	GGA2	128.5	NQ	1.39
YHR108W	GGA2	60	NQ	2.73
YGL083W	SCY1	243.5	NQ	1.47
YGL083W	SCY1	48.5	NQ	1.87
YDL056W	MBP1	180	NQ	1.78
YDL056W	MBP1	74.5	NQ	2.28
YNL298W	CLA4	21	1.136	6.70
YJL196C	ELO1	130.5	NQ	3.99
YJL196C	ELO1	46.5	NQ	2.69
YDR356W	SPC110	169	NA	1.38
YDR356W	SPC110	65.5	3.906	4.03
YBR139W	YBR139W	172	NQ	5.81
YOR307C	SLY41	186.5	NQ	1.92
YOR307C	SLY41	2.5	NQ	2.45
YAL024C	LTE1	20.5	2.044	2.96
YAL024C	LTE1	92	NA	1.98
YPR034W	ARP7	11	NQ	1.54
YPR034W	ARP7	152.5	NQ	2.46
YNL336W	COS1	148.5	NQ	2.65
YNL336W	COS1	230	NQ	2.96
YGL008C	PMA1	116	NQ	1.55
YGL008C	PMA1	17.5	NQ	2.73
YOR127W	RGA1	30.5	1.750	3.71
YLR438W	CAR2	143.5	1.457	5.95
YLR438W	CAR2	278	NA	1.79
YJL218W	YJL218W	50	3.603	3.92
YJL216C	YJL216C	154.5	NQ	6.55
YGL101W	YGL101W	157.5	NQ	2.75
YGL101W	YGL101W	74.5	NQ	1.90
YDR263C	DIN7	40.5	1.218	5.57
YDR077W	SED1	170.5	NA	3.94
YDR011W	SNQ2	186	NA	2.23
YDR011W	SNQ2	259.5	3.026	2.41
YCL064C	CHA1	48	NQ	2.02
YBR086C	IST2	182.5	NQ	2.06
YBR086C	IST2	83	NQ	2.17
YLR353W	BUD8	101.5	NA	1.26
YLR353W	BUD8	284	111.004	1.15
YIL144W	TID3	NA	NQ	
YOL112W	MSB4	27.5	NQ	0.16
YJL059W	YHC3	163	NQ	4.22
YJL059W	YHC3	243.5	NQ	1.68
YHR092C	HXT4	2.5	NQ	5.93
YER104W	RTT105	130	NQ	1.79
YER104W	RTT105	61	NQ	1.50
YDR499W	LCD1	252.5	NQ	2.09
YBR200W	BEM1	124.5	4.982	2.35
YBR200W	BEM1	15.5	2.840	1.77
YOR375C	GDH1	111	NQ	1.94
YOR375C	GDH1	20.5	NQ	2.25
YOL113W	SKM1	266.5	137.948	0.63
YOL113W	SKM1	47.5	137.953	1.69
YJL002C	OST1	117	NQ	1.53
YJL002C	OST1	37	NQ	1.48
YHR039C	MSC7	125.5	NQ	1.45
YHR039C	MSC7	36	NQ	2.82
YGL097W	SRM1	113	NQ	2.17
YGL097W	SRM1	14	NQ	4.03
YDL090C	RAM1	186.5	NQ	1.58
YDL090C	RAM1	49	NQ	1.53
YCR023C	YCR023C	129.5	NQ	2.22
YCR023C	YCR023C	56	NQ	1.95
YOR086C	YOR086C	185	NQ	3.92
YJL118W	YJL118W	76	3.772	4.28
YIL122W	POG1	144.5	NQ	2.35
YIL122W	POG1	256.5	NQ	2.67
YGR055W	MUP1	2.5	1.494	10.94
YER072W	VTC1	118	NQ	1.29
YER072W	VTC1	23	NQ	3.08
YDL128W	VCX1	164	NQ	3.01
YDL128W	VCX1	22.5	NQ	1.58
YLR459W	CDC91	132.5	NQ	1.32
YLR459W	CDC91	73.5	NQ	1.12
YJL172W	CPS1	140	NQ	2.82
YJL172W	CPS1	252	NQ	3.02
YIL139C	REV7	250	NQ	0.45
YIL139C	REV7	60	NQ	1.03
YHR135C	YCK1	128.5	37.033	2.37
YHR135C	YCK1	56.5	36.999	2.03
YDR227W	SIR4	182	NQ	1.52
YDR227W	SIR4	91	NQ	2.54
YBR112C	CYC8	126	NQ	2.44
YBR112C	CYC8	29	NQ	1.20
YLR437C	YLR437C	146.5	NQ	3.31
YLR437C	YLR437C	298.5	NQ	1.97
YLR436C	ECM30	155.5	NQ	1.94
YLR436C	ECM30	214	NQ	1.48
YKL049C	CSE4	281	NQ	2.02
YKL049C	CSE4	87.5	NQ	2.21
YJL034W	KAR2	231	NA	4.25
YJL034W	KAR2	49	79.002	2.01
YGL257C	MNT2	133	NQ	1.22
YGL257C	MNT2	60.5	NQ	1.42
YER004W	YER004W	174.5	NQ	3.24
YER004W	YER004W	263.5	NQ	2.22
YEL065W	SIT1	110.5	1.862	4.65
YEL065W	SIT1	20	1.638	4.19
YDL052C	SLC1	164.5	NA	1.14
YDL052C	SLC1	39.5	4.511	3.12
YPR157W	YPR157W	136.5	NQ	2.47
YHR107C	CDC12	67.5	5.190	3.11
YDR176W	NGG1	175	NQ	2.80
YDR176W	NGG1	77.5	NQ	2.02
YBR203W	COS111	145.5	3.678	4.74
YBR123C	TFC1	181.5	64.569	1.49
YBR123C	TFC1	74.5	NA	2.07
YAL049C	YAL049C	169	NQ	1.58
YOR382W	FIT2	126	2.027	7.33
YOR083W	WHI5	168	NQ	2.78
YOR083W	WHI5	269	NQ	1.57
YNR062C	YNR062C	NA	NQ	
YNL192W	CHS1	168	1.637	5.57
YMR127C	SAS2	14	NQ	2.55
YMR127C	SAS2	203	NQ	1.69
YMR075W	YMR075W	20	NQ	1.64
YMR075W	YMR075W	216.5	NQ	2.56
YHR113W	YHR113W	133.5	NQ	3.05
YHR113W	YHR113W	48.5	NQ	1.57
YDR277C	MTH1	255.5	NQ	2.40
YBR289W	SNF5	174.5	NQ	2.04
YBR289W	SNF5	257.5	NQ	1.85
YLR030W				
YNR028W	CPR8	154.5	NQ	1.56
YNR028W	CPR8	79.5	NQ	2.39
YHR110W	ERP5	144.5	NQ	3.24
YHR110W	ERP5	50.5	NQ	2.73
YBL008W	HIR1	203.5	NQ	1.32
YOR099W	KTR1	158	1.163	2.43
YOR099W	KTR1	42.5	NA	1.58
YNL326C	YNL326C	14.5	NQ	2.98
YNL326C	YNL326C	169	NQ	1.43
YNL033W				
YNL015W	PBI2	163	37.724	3.76
YLR236C				
YGL209W	MIG2	141.5	NQ	5.96
YBL085W	BOI1	39	NQ	2.33
YBL085W	BOI1	95.5	NQ	1.61
YPL282C				
YNL087W	YNL087W	20	NQ	2.58
YMR030W	RSF1	149.5	NQ	6.75
YKR069W	MET1	19	NQ	6.50
YKR067W	GPT2	136.5	NQ	6.65
YJR115W	YJR115W	133	NQ	2.47
YJR115W	YJR115W	253	NQ	3.27
YDR147W	EKI1	184.5	NQ	1.67
YDR147W	EKI1	81.5	NQ	2.66
YHR143W	DSE2	190	NA	16.31
YHR005C	GPA1	128	NQ	1.27
YGL185C	YGL185C	124.5	NQ	1.53
YGL185C	YGL185C	39	NQ	1.82
YBR008C	FLR1	279	2.553	3.88
YBR008C	FLR1	76.5	NA	1.91
YOR301W	RAX1	184	NQ	1.30
YOR301W	RAX1	31.5	NQ	2.93
YMR292W	GOT1	64.5	NQ	2.71
YMR274C	RCE1	118	NQ	0.65
YMR274C	RCE1	14.5	NQ	1.76
YPL082C	MOT1	177.5	NQ	2.47
YMR006C	PLB2	161.5	NQ	4.90
YJL183W	MNN11	15	NQ	2.13
YJL183W	MNN11	77.5	NQ	1.82
YHR098C	SFB3	46	NQ	4.42
YDR334W	YDR334W	145.5	NQ	1.14
YDR334W	YDR334W	33.5	NQ	1.02
YMR149W	SWP1	36	NQ	1.88
YML110C	COQ5	144.5	NQ	3.98
YML110C	COQ5	52.5	NQ	2.51
YER071C	YER071C	116	NQ	2.39
YER071C	YER071C	48	NQ	2.22
YLR300W	EXG1	164	NA	2.59
YLR300W	EXG1	69	NA	2.58
YLL031C	GPI13	239	NQ	1.27
YLL031C	GPI13	68	NQ	2.09
YKR075C	YKR075C	137	0.816	9.23
YJL176C	SWI3	53.5	NQ	1.86
YDR208W	MSS4	178.5	33.275	1.98
YDR208W	MSS4	257	NA	0.98
YPL004C	LSP1	151	NA	4.13
YPL004C	LSP1	262.5	NA	1.87
YMR299C	YMR299C	275.5	NQ	1.09
YMR262W	YMR262W	165	2.572	8.51
YLR085C	ARP6	206	NQ	2.01
YLR085C	ARP6	276.5	NQ	1.23
YIL176C	YIL176C	150.5	NQ	1.95
YIL176C	YIL176C	227.5	NQ	2.43
YHR173C	YHR173C	128	NQ	1.38
YHR173C	YHR173C	60	NQ	1.80
YGR035C	YGR035C	139	NQ	1.53
YGR035C	YGR035C	9.5	NQ	2.50
YFR030W	MET10	23	NQ	4.14
YDR353W	TRR1	122.5	NA	2.11
YDR353W	TRR1	20.5	1.443	4.13
YAL047C	SPC72	NA	NQ	
YNL176C	YNL176C	168	NQ	1.46
YNL176C	YNL176C	82.5	NQ	2.32
YLR056W	ERG3	30.5	48.213	3.40
YLR056W	ERG3	90	NA	1.85
YJL158C	CIS3	19.5	NA	3.15
YJL158C	CIS3	66.5	2.779	6.85
YHR038W	RRF1	115.5	NA	3.91
YHR038W	RRF1	51.5	1.056	7.43
YFR026C	YFR026C	36.5	NQ	3.13
YFL059W				
YEL017C-A	PMP2	237.5	NQ	2.17
YEL017C-A	PMP2	8.5	NQ	2.26
YOR246C	YOR246C	10	NQ	2.28
YOR246C	YOR246C	78.5	NQ	1.69
YOR112W	YOR112W	165.5	NQ	1.32
YOR112W	YOR112W	30	NQ	2.74
YMR183C	SSO2	230.5	NQ	1.15
YMR183C	SSO2	283.5	NQ	1.09
YMR096W	SNZ1	286	NA	1.51
YMR096W	SNZ1	37	1.607	4.27
YLR092W	SUL2	21.5	NQ	6.18
YJR154W	YJR154W	20.5	NQ	3.84
YJR154W	YJR154W	96	NQ	1.29
YJL157C	FAR1	135.5	2.647	4.40
YJL080C	SCP160	104	NA	2.68
YJL080C	SCP160	17	1.704	4.38
YHL003C	LAG1	209.5	NQ	1.55
YHL003C	LAG1	61	NQ	3.24
YGL184C	STR3	269.5	NQ	5.47
YPL061W	ALD6	126	2.690	2.20
YPL061W	ALD6	256.5	NA	1.75
YGR279C	SCW4	136	NA	3.38
YGR279C	SCW4	23	NA	2.33
YFL021W	GAT1	178.5	NQ	4.62
YFL021W	GAT1	8.5	NQ	2.13
YER031C	YPT31	130	NQ	1.28
YER031C	YPT31	63.5	NQ	1.52
YBR184W	YBR184W	178.5	NQ	1.02
YBR184W	YBR184W	68.5	NQ	3.09
YBL098W	BNA4	142.5	NQ	2.18
YBL098W	BNA4	36.5	NQ	1.41
YNR065C	YNR065C	174.5	NQ	1.57
YNR065C	YNR065C	247.5	NQ	1.14
YMR253C	YMR253C	50.5	NQ	0.73
YHL047C				
YER188W	YER188W	255.5	NQ	1.47
YDR179C	CSN9	78	NQ	2.06
YDL022W	GPD1	182.5	5.988	5.80
YDL022W	GPD1	256	NA	1.99
YBR083W	TEC1	150.5	3.490	3.98
YBR083W	TEC1	254.5	NA	1.67
YPL222W	YPL222W	207	NQ	0.31
YMR261C	TPS3	136.5	NQ	3.58
YMR261C	TPS3	49	NQ	1.86
YKL183W	LOT5	217.5	NQ	1.47
YKL183W	LOT5	8.5	NQ	1.76
YJL042W	MHP1	148	NQ	1.76
YJL042W	MHP1	220	NQ	2.16
YDR276C	PMP3	186.5	NQ	2.80
YOR378W				
YOR316C	COT1	192	NQ	2.55
YOR316C	COT1	56	NQ	1.08
YNL321W	YNL321W	152	NQ	3.61
YLR414C	YLR414C	158.5	NQ	1.55
YLR414C	YLR414C	63.5	NQ	1.47
YIL155C	GUT2	147.5	NQ	4.01
YDR407C	TRS120	250.5	NQ	1.97
YDR407C	TRS120	45	NQ	2.12
YDL195W	SEC31	254	NQ	1.57
YDL195W	SEC31	44.5	NQ	1.56
YBR069C	TAT1	149	NQ	1.90
YBR069C	TAT1	5	NQ	1.97
YPR183W	DPM1	25	2.213	3.69
YPL128C	TBF1	10.5	NQ	1.42
YPL128C	TBF1	70.5	NQ	2.24
YOR356W	YOR356W	138	NQ	0.43
YOR356W	YOR356W	283.5	NQ	0.81
YOR175C	YOR175C	159	NQ	2.55
YOR175C	YOR175C	55.5	NQ	2.15
YNR033W	ABZ1	124	NQ	1.86
YNR033W	ABZ1	60	NQ	2.24
YMR145C	NDE1	106.5	NQ	4.52
YGL055W	OLE1	155	3.318	2.38
YGL055W	OLE1	54	NA	1.22
YCR033W	SNT1	231	NQ	1.01
YCR033W	SNT1	280	NQ	1.00
YMR094W	CTF13	53	NQ	2.45
YMR077C	VPS20	150.5	NQ	2.54
YMR077C	VPS20	241	NQ	1.52
YML106W	URA5	13	NQ	3.67
YML106W	URA5	99	NQ	2.83
YKL134C	YKL134C	47	NA	2.64
YKL134C	YKL134C	99	14.772	3.45
YKL112W	ABF1	166	NQ	1.70
YKL112W	ABF1	300	NQ	1.69
YKL004W	AUR1	14.5	NQ	3.07
YKL004W	AUR1	227.5	NQ	2.22
YGR183C	QCR9	154	NQ	2.25
YGR183C	QCR9	34	NQ	1.57
YDR044W	HEM13	39	NQ	4.99
YBR003W	COQ1	117	NQ	3.68
YBR003W	COQ1	50	NQ	5.10
YPR158W	YPR158W	201	NQ	3.96
YPR158W	YPR158W	250	NQ	3.70
YKL182W	FAS1	160	NQ	1.98
YKL182W	FAS1	256	NQ	3.25
YJR003C	YJR003C	18	NQ	1.69
YJR003C	YJR003C	232	NQ	2.95
YER154W	OXA1	120.5	NA	1.88
YER154W	OXA1	43	4.379	5.60
YDR039C				
YDL245C				
YCR075C	ERS1	173.5	NQ	1.37
YCR075C	ERS1	47	NQ	1.93
YBL105C	PKC1	111.5	NQ	1.84
YBL105C	PKC1	276.5	NQ	1.79
YPL265W	DIP5	128	NQ	6.43
YPL265W	DIP5	20	NQ	5.86
YPL026C	SKS1	297	NQ	2.46
YPL026C	SKS1	74.5	NQ	3.55
YOL123W	HRP1	162	NQ	7.43
YNL337W	YNL337W	146.5	NQ	2.66
